murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
yes,33510,2.47,7.76,87.03,1.67,10.77,9.81,24.68,10.15,14.98,33510,100,41495,75.22,0.35,47.82,29.56,5.91,12.85,51090,20993,22421,10722,7494,19446,12306,2659,8.31,6.43,17.01,28.67,5.54,60.41,9.97,25.96,9.93,32.9,9.65,36.38,11.67,10.72,3.05,74.22,69.11,91.68,70.36,46.36,61.72,698,2.95,4672,10.68,17.23,25.26,34.27,1.49,2.4,3.52,4.78,80.95,2.98,6.35,3.77,2.35,2.56,2.14,55.35,6.25,62.29,2,1766,88.5,50.9,3.74,59.68,1955,1.63,0.29,153300,187600,240100,86800,537,678,864,327,758,27.9,23.3,16.9,0,0,13.94,72.49,55.11,82.37,93.36,2.2,15151.9,21.82,0
yes,16444,2.57,5.38,91.2,1.96,8.65,14.36,28.13,14.18,9.02,16444,100,37156,85.91,0.42,53.81,18.82,1.72,15.61,41982,19266,20177,10521,0,6974,14543,1076,6.67,2.42,7.82,39.7,2.92,71.21,8.67,32.9,5.66,40.73,8.04,29.53,14.39,11.42,2.93,74.99,74.49,82.25,75.7,73.71,76.44,139,1.34,1228,17.67,23.62,29.64,39.33,1.32,1.76,2.21,2.94,86.85,1.44,2.48,1.8,2.52,2.61,2.37,64.96,2.23,45.14,3,444,93.52,62.75,0,18.47,1977,1.14,0.15,70900,100100,148400,77500,396,443,517,121,523,26.5,21.7,12.9,0,0,7.47,33.17,39.88,69.58,78.9,5.1,3209.2,0.84,0
yes,67460,2.25,5.03,72.73,14.72,16.04,8.87,29.23,11.77,8.73,67460,100,42431,87.02,0.45,52.82,16.05,4.05,11.34,48960,22436,24658,17150,16815,18790,12091,4157,6.22,6.41,13.37,40.75,3.17,75.75,32.45,22.37,7.68,41.18,12.62,40.45,17.16,14.85,2.93,72.73,70.62,86.26,72.37,65.28,71.9,961,2.56,15539,27.99,38.3,50.1,60.95,6.45,8.82,11.54,14.04,72.62,7.18,5.63,2.97,2.23,2.26,2.21,38.26,8.6,70.35,2,1497,95.25,37.75,0.8,9.89,1966,1.05,0.19,270600,347000,439700,169100,593,715,897,304,760,26,25.1,11.7,112,5,23.03,36.79,35.18,60.58,78.07,12.5,5410.7,4.19,0
yes,27291,2.43,5.93,93.13,0.74,0.69,10.59,19.79,8.65,15.95,27291,100,42113,77.21,0.67,64.46,32.88,1.6,20.23,51118,22058,22812,10865,37107,15428,14510,760,2.82,5.18,11.77,42.87,3.12,63.68,15.37,32.46,6.02,42.65,7.38,24.35,11.62,9.71,3,81.26,80.46,94.64,70.38,58.62,67.7,139,0.66,577,7.45,8.84,13.34,25.65,0.16,0.19,0.28,0.54,95.61,0.62,3.73,2.55,2.41,2.55,1.9,82.6,0.78,39.64,3,487,95.84,77.96,1.64,34.09,1955,0.12,0.03,77400,100500,148300,70900,376,469,542,166,558,22.9,17.6,11.8,0,0,2.11,66.64,62.96,84.26,91.96,9.3,2921.9,1.54,0
no,10850,2.55,0.65,97.82,0.48,0.59,13.45,26.4,12.57,14.2,0,0,24929,70.25,0.66,40.16,32.94,7.29,18.52,29688,11637,11615,12246,6156,33847,12807,1051,9.97,7.01,23.74,15.61,4.31,58.67,23.17,26.69,20.21,22.45,10.08,29.09,12.58,11.45,3.12,72.73,71.04,73.39,80.41,60.44,69.89,226,2.54,200,6,6,6,6,0.11,0.11,0.11,0.11,95.53,0.75,4.21,2.8,2.49,2.77,2.07,65.66,1.32,45.46,3,209,95.32,58.84,1.91,45.93,1939,7.48,1.21,42700,60300,82300,39600,241,316,380,139,377,27,21,15.1,0,0,1.84,86.08,57.62,83.59,96.14,22.8,475.5,1.01,0
yes,228537,2.77,29.69,48.25,11.36,24.24,13.95,30.31,14.41,10.02,228537,100,29054,76,0.39,30.64,23.5,12.15,12.14,32785,13060,16047,9935,15132,12720,9117,42539,18.88,14.08,34.32,21.43,10.83,58.63,15.63,21.75,17.66,24.06,9.31,45.06,13.25,11.36,3.41,55.58,48.71,65.4,60.61,53.77,60.72,18010,11.07,56326,18.35,31.73,44.74,56.77,4.52,7.82,11.03,13.99,58.75,8.13,10.91,7.14,2.73,3.01,2.61,32.71,11.36,68.06,2,8342,90.8,29.62,9.39,39.85,1939,9.27,1.2,91800,127700,164400,72600,325,464,601,276,527,25.6,24.6,16,466,267,24.65,47.8,57.32,81.75,84.39,15.4,14826.6,37.29,5.34
no,71742,2.47,1.4,92.76,3.5,6.8,10.56,23.01,10.97,18.96,71742,100,39905,75.39,0.62,53.95,37.02,3.23,20.22,48033,18950,19241,13412,8078,17846,13044,3327,4.7,12.35,27.14,20.43,4.71,62.31,23.42,19.55,13.37,26.96,6.72,30.42,8.98,7.93,3,81.63,80.21,89.64,83.87,57.55,69.63,570,1.16,13659,10.68,16.65,25.51,32.02,2.03,3.17,4.86,6.1,71.84,3.97,3.93,2.71,2.44,2.65,2.11,66.1,2.13,51.65,2,958,96.81,60.81,0.42,41.54,1947,1.54,0.19,159600,185000,223700,64100,387,537,674,287,613,24,23.4,14.3,2,0,19.04,63.44,67.63,84.15,93.35,11.7,6124.7,5.66,9.86
yes,86284,3.85,1.67,41.65,1.62,83.13,18.7,34.74,17.82,6.66,86284,100,27279,80.79,0.72,19.78,20.97,12.2,11.36,28980,8368,10016,9575,8859,10310,7203,14956,17.44,36.2,59.05,5.25,10.81,58.06,35.89,11.57,32.75,10.15,6.67,39.71,11.93,9.33,4.19,72.21,66.2,76.63,77.47,50.57,54.61,4594,7.4,42540,15.76,24.7,32.86,45.26,7.77,12.18,16.2,22.32,21.16,25.71,25.34,20.81,3.84,3.9,3.77,49.35,42.18,79.59,2,518,97.74,48.53,1.16,17.57,1951,4.88,0.78,133400,162500,188500,55100,422,508,614,192,549,30,28.2,11.6,21,0,49.3,38.6,46.49,87.48,89.08,7.6,11329.3,8.02,0
yes,56216,3.07,6.87,61.68,15.23,29.86,15.46,30.16,14.34,8.08,56216,100,24727,75.05,1.12,31.42,21.45,19.98,14.41,27388,10237,13041,8344,8590,3399,6644,13804,25.06,17.12,30.87,15.79,9.99,55.53,13.47,27.18,16.38,25.02,10.22,31.91,16.28,13.34,3.56,67.04,64.81,76.19,72.78,47.24,55.38,1960,4.49,10623,22.97,35.12,42.1,60.31,4.34,6.64,7.96,11.4,65.33,11.87,13.49,9.91,3.03,2.83,3.19,41.69,16.89,57.23,2,683,96.4,44.63,1.46,13.18,1973,4.91,0.55,71200,91100,118900,47700,298,374,455,157,438,29.8,22.6,11.7,64,0,18.9,52.67,39.19,74.58,85.88,16.7,3365.4,0.59,0
yes,19478,2.55,4.59,94.24,0.88,0.3,12.75,25.3,11.55,12.42,0,0,29032,76.51,1.01,43.23,28.76,5.61,18.56,35363,12800,12986,8650,11563,17089,15636,1885,9.83,7.74,23.52,16.92,4.52,63.18,35.67,20.19,19.39,26.79,10.05,23.16,13.65,11.97,3.06,75.67,73.5,81.63,77.69,61.32,70.5,296,1.99,261,37.93,37.93,40.23,44.44,0.51,0.51,0.54,0.6,96.67,0.44,3.38,2.39,2.51,2.63,2.31,65.83,1.14,41.36,3,357,95.54,62.83,2.52,33.05,1957,6.14,0.29,47200,60300,80500,33300,218,303,371,153,387,24.4,16.1,12,0,0,1.34,78.51,54.12,84.38,93.15,8.9,2189.3,0.55,0
yes,84770,2.66,21.44,73.36,3.94,4.4,25,42.46,29.33,8.45,84770,100,21077,81.3,0.66,42.63,19.62,6.55,12.39,31321,11549,13322,6267,11591,8622,8256,19860,26.33,5.08,15.16,40.49,6.59,55.61,4.65,48.76,6.16,38.51,7.94,52.7,12.54,10.29,2.98,64.19,59.11,73.3,69.09,59.6,68.72,3666,8.01,6908,30.37,42.72,55.34,62.35,2.47,3.48,4.51,5.08,88.85,0.92,4.01,2.26,2.35,2.54,2.18,50.9,4.91,52.33,2,2684,92.24,47.1,5.55,33.01,1969,5.89,0.45,47800,63800,88800,41000,222,305,411,189,383,33.2,19.5,12.1,35,7,8.15,43.16,34,55.72,81.04,36.1,2347.4,2.7,8.33
no,11997,2.92,13.95,83.5,1.84,1.38,10.34,25.13,9.92,10.2,10940,91.19,41129,86.84,0.66,46.89,18.97,3.67,14.52,44638,15711,16735,10148,0,13882,19944,749,6.69,5.66,16.76,22.67,3.05,65.33,22.8,23.67,15.84,27.64,11.9,28.04,11.28,11.61,3.15,79.96,78,85.02,70.48,58.38,68.07,273,3.93,436,7.8,22.94,34.86,52.06,0.28,0.83,1.27,1.89,93.86,0.28,4.26,3.21,2.73,2.84,2.45,74,1.58,29.45,3,156,96.34,71.06,2.56,40.38,1974,0.63,0.14,88800,111200,136200,47400,427,494,583,156,632,26.1,24.7,14,0,0,3.63,72.7,53.09,77.55,89.05,9.1,1322,2.16,0
no,11354,2.41,0.24,98.74,0.54,0.47,13.26,23.23,10.89,16.88,0,0,20472,62.83,0.53,46.94,40,10.47,21.74,28264,11451,11522,0,6549,4101,8412,1512,13.45,11.96,25.5,13.06,9.29,51.64,18.1,27.49,16.83,25.14,9.13,26.79,11.77,10.56,3,71.39,70.75,81.59,77.2,60.03,68.64,164,1.42,147,0,0,4.76,13.61,0,0,0.06,0.18,95.94,0.47,3.22,2.14,2.36,2.49,2.08,72.64,1,39.74,3,288,94.24,68.92,0.69,38.89,1944,4.84,0.7,28300,37600,50500,22200,189,246,299,110,286,27.9,17.7,14.8,0,0,1.29,86.81,56.46,82.88,92.36,8.8,1289.1,1.07,0
yes,31384,3.26,4.49,59.96,2.5,65.26,17.31,29.41,13.77,7.26,0,0,25147,76.78,1.43,21.64,22.16,16.87,12.04,28727,9898,12234,7638,8813,10858,6357,7184,23.25,23.25,40.47,13.52,13.9,52.69,6.82,26.8,12.79,26.17,8.69,30.42,13.73,11.32,3.69,71.46,66.91,73.54,77.51,45.62,54.55,1131,4.43,9171,13.76,20.83,27.36,34.07,4.02,6.09,7.99,9.96,37.08,15,12.61,9.9,3.21,3.31,3.09,54.23,21.55,56.04,2,547,94.63,52.54,2.56,28.15,1971,5.57,0.38,63600,79100,98500,34900,257,350,443,186,431,31.1,21.4,12,53,0,29.22,49.48,47.88,78.47,88.36,6.5,4849.2,0.6,0
no,10531,3.07,0.67,98.32,0.87,0.56,12.84,22.5,11.15,7.47,9560,90.78,66084,89.42,0.35,68.04,18.2,1.45,13.87,73524,26103,25522,75165,0,43512,5093,172,1.67,1.99,6.77,49.08,4.2,70.66,18.09,29.18,5.58,44.1,4.29,29.11,7.36,5.85,3.35,90.43,90.33,96.4,88.13,60.66,66.85,66,0.93,531,5.84,7.72,21.28,25.99,0.29,0.39,1.07,1.31,93.37,0.35,4.35,3.56,2.99,3.18,2.08,87.89,0.61,21.02,3,73,97.91,82.61,0,21.92,1966,0,0,203700,242200,309500,105800,400,609,752,352,662,25.7,21.6,11.7,0,0,5.04,64.39,68.25,84.59,93.32,15,700.5,5.25,0
yes,41832,2.57,0.92,97.32,0.43,3.8,12.82,26.11,11.91,13.48,41832,100,30638,74.92,0.34,39.64,32.94,7.2,23.56,36016,13338,13338,12804,12085,6830,12954,3557,8.53,10.39,32.44,6.77,7.78,57.41,26.53,17.79,22.69,14.58,10.39,28.63,12.81,11.67,3.1,74.68,72.53,83.69,81.52,54.94,64.36,496,1.47,1659,2.89,3.68,6.15,9.76,0.11,0.15,0.24,0.39,92.33,0.68,4.37,3.12,2.57,2.68,2.16,81.89,2.18,41.67,3,506,96.98,78.45,1.19,23.52,1953,1.94,0.2,36800,44500,54800,18000,302,370,430,128,432,23.8,16.3,13.8,0,0,3.97,74.22,64.78,93.89,96.19,6.1,6903,1.21,0
no,15004,2.5,5.31,94.3,0.33,0.51,13.56,27.06,12.94,10.69,0,0,26171,78.16,0.53,36.1,26.2,6.92,14.01,31468,12045,12112,10683,0,16225,15303,1616,10.92,16.4,31.37,17.22,4.01,66.17,25.32,25.94,18.73,25.9,9.87,24.07,14.23,12.22,2.92,74.15,72.15,89.34,67.53,68.03,76.67,127,1.1,57,0,17.54,17.54,29.82,0,0.07,0.07,0.11,98.61,0.2,2.06,1.53,2.47,2.55,2.29,69.83,1.18,38.22,3,256,95.92,67.49,0.39,40.62,1973,4.76,0.1,50100,65500,84200,34100,200,275,359,159,347,23.1,19.6,11.6,0,0,0.38,73.37,50.91,80.68,91.43,14,1071.1,0.11,0
no,22097,2.95,3.27,86.84,0.78,13.39,19.43,31.86,18.85,12.21,0,0,24788,75.41,0.49,37.66,29.58,14,15.49,28992,11006,11613,6430,9447,12927,6803,4053,20.65,11.69,28.82,15.98,8.37,55.91,24.18,27.55,20.02,23.95,10.9,34.63,13.16,12.15,3.18,65.52,61.92,61.68,69.6,59.47,69.15,690,3.98,572,18.71,22.9,23.43,26.92,0.48,0.59,0.61,0.7,88.42,1.24,6.56,4.51,2.61,2.77,2.39,61.75,3.53,49.55,3,363,95.37,58.22,3.31,31.96,1947,10.78,0.6,32200,44200,64000,31800,257,325,386,129,374,28.9,16.7,13.1,41,2,2.59,68.14,45.19,78.47,89.07,7.2,3089.6,0.49,0
yes,40263,2.62,0.91,74.44,23.01,4.93,11.13,23.16,10.24,7.93,40263,100,64587,89.43,0.87,66.71,14.58,2.66,11.92,70671,29118,31044,20034,22107,23987,19559,1260,3.16,1.98,5.48,52.06,2.75,72.64,36.17,21.48,4.38,52.6,9.23,30.9,12.44,10.85,3.03,83.14,82.34,95.89,80.91,60.61,67.38,127,0.5,8917,20.07,28.81,41.31,47.62,4.45,6.38,9.15,10.55,73.34,3.22,3.16,2.26,2.6,2.76,2.33,66.82,3.72,39.03,3,697,95.66,62.97,0.43,18.94,1969,0.09,0.14,319800,414300,500001,180201,784,934,1001,217,957,24.1,23.6,11.4,0,0,22.15,40.02,47.31,74.32,83.27,10.7,3771.4,1.7,0
no,30548,2.66,0.59,95.96,2.93,3.48,10.77,20.02,9.29,18.45,30548,100,49658,76.66,0.54,62.08,35.92,3.18,19.93,56569,22418,22539,13942,0,20361,18964,894,2.94,6.64,18.7,30.35,3.76,62.04,15.22,26.22,7.69,35.13,4.16,25.72,6.93,5.63,3.06,87.75,87.05,98.13,87.03,55.09,66.31,86,0.38,5069,10.24,15.29,20.2,31.98,1.7,2.54,3.35,5.31,80.62,2.69,3.6,2.79,2.64,2.77,2.12,84.73,0.85,28.86,3,266,97.74,80.97,0,20.68,1949,0.23,0.28,177400,199000,242300,64900,452,539,797,345,594,28.3,22.9,15.4,0,0,16.59,47.97,73.31,86.49,90.68,5.4,5702.7,10.35,0
no,44389,2.49,3.21,95.98,0.39,0.66,12.9,25.77,12.14,13.09,44389,100,23062,72.75,0.7,37.04,30.14,9.63,20.31,28490,11680,11710,9200,3952,31513,9293,6723,15.56,8.71,27.16,11.32,7.99,56.8,19.85,22.6,18.05,22.56,12.26,24.38,15.68,14.11,3.02,69.92,67.88,74.66,75.68,60.32,64.79,817,2.3,324,4.01,7.41,9.26,16.05,0.03,0.05,0.07,0.12,97.67,0.39,3.7,2.49,2.44,2.56,2.28,59.6,1.46,48.85,3,1165,93.86,56.75,1.89,35.02,1955,7.37,0.46,36600,49500,68900,32300,204,269,347,143,351,26.5,17.1,12.2,1,0,0.73,80.08,51.69,86,93.12,18.7,2376.3,0.49,0
yes,45532,2.85,2.65,95.72,1.04,2.28,11.86,27.51,12.36,9.76,43944,96.51,44635,84.94,0.71,50.24,24.74,3.78,18.37,48757,16723,17014,8297,13171,12425,11655,1262,2.89,6.55,21.62,17.59,4.01,68.24,26.12,16.06,13.94,24.73,7.02,32.45,9.76,8.38,3.13,81.96,79.92,91.04,80.39,63.59,75.19,413,1.3,2377,9.38,11.7,17.12,27.01,0.49,0.61,0.89,1.41,90.41,0.92,4.08,3.15,2.73,2.86,2.29,79.94,1.23,32.43,3,629,96.21,76.15,0.16,29.89,1960,0.89,0.13,128000,143400,164700,36700,394,563,676,282,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,34.6,1314.3,1.28,0
no,41042,2.65,2.78,94.3,2.06,1.44,14.01,26.19,12.25,7.9,41042,100,39045,84.42,0.7,52.86,19.09,3.03,14.1,44381,17602,17638,15683,15589,19296,10128,1720,4.21,2.73,11.36,31.3,3.99,71.18,27.38,24.99,12.65,32.18,8.11,26.43,11.89,10.07,3.12,81.33,81.27,92.13,82.45,58.06,69.66,313,1.05,1307,12.93,15.84,18.36,23.03,0.41,0.5,0.58,0.73,94.91,0.6,3.43,2.54,2.64,2.9,2.01,78.45,1.4,37.25,3,666,95.87,71.62,0.15,17.42,1968,1,0.05,54600,71800,97400,42800,348,395,460,112,434,22.6,17.3,12.4,0,0,3.18,69.54,52.2,82.09,90.79,33.4,1230.1,0.3,0
yes,18911,2.51,2.75,93.77,1.57,8.43,12.58,27.02,12.66,12,18911,100,31231,83.38,0.83,35.77,23.88,4.08,16.02,34399,13817,14086,10266,8981,9092,9327,1173,6.25,5.14,17.7,17.41,4.2,70.41,9.98,16.42,9.94,22.1,12.72,28.09,17.3,15.1,2.98,73.81,69.58,87.11,76.67,58.11,70.25,139,1.03,1419,7.26,9.51,12.54,27.34,0.54,0.71,0.94,2.05,86.25,1.96,3.91,2.65,2.49,2.52,2.42,65.77,2.82,40.51,3,540,93.32,64.82,0.93,18.15,1975,1.81,0,62600,75800,91800,29200,390,466,536,146,547,26.6,21.1,12,0,0,7.5,22.13,45.52,61.66,78.45,6.3,3005.6,0.34,0
yes,10511,2.76,11.97,74.43,0.29,31.59,14.73,25.5,11.69,13.39,0,0,21049,74.5,3.02,33.22,32.31,7.17,10.22,25904,11174,12548,5150,0,4803,8002,2275,22.09,22.7,40.64,12.4,8.12,57.2,15.27,21.57,21.1,17.42,8.84,25.24,11.14,10.07,3.29,74.23,68.94,82.62,74.2,60.66,67.14,175,1.87,407,12.04,13.27,26.54,39.56,0.47,0.51,1.03,1.53,71.16,4.49,6.5,4.79,2.73,2.66,2.83,60.48,7.94,49.96,3,331,91.99,61.97,4.53,57.4,1960,12.15,1.16,30100,47400,71300,41200,177,236,304,127,317,25.5,20.1,13.7,0,0,3.88,87.16,54.85,90.03,98.19,5.9,1777.9,0,0
no,12603,3.87,5.03,92.79,0.94,1.56,49.3,67.67,59.96,7.13,0,0,14990,76.39,0.98,37.34,23.3,12.29,11.65,26383,7355,7622,3823,5694,5861,3072,3598,44.45,7.68,17.72,31.01,11.35,44.91,5.99,47.64,10.15,26.07,3.21,76.6,6.91,4.9,2.94,64.98,66.4,61.05,68.79,57.89,67.97,184,3.56,404,41.34,49.5,59.16,62.62,1.33,1.59,1.9,2.01,95.49,0.4,4.36,2.82,2.46,2.55,2.4,40.59,2.03,57.53,2,291,91.8,39.18,1.03,20.62,1957,4.57,0.03,39000,51800,68200,29200,202,318,441,239,350,35.1,20.3,13.2,0,0,3.21,81.26,25,36.47,92.02,6.2,2044.6,0.34,0
yes,1027974,2.75,75.67,21.63,0.82,2.77,16.05,28.74,14.65,10.94,1027974,100,18742,65.39,0.21,18.62,28.84,26.14,17.52,22566,9443,11947,8809,7045,8241,7518,328467,32.41,12.02,37.85,9.61,19.67,44.21,20.52,25.13,20.54,18.74,15.75,44.98,19.62,17.88,3.38,37.07,32.26,37.68,40.25,48.88,57.3,139284,16.59,34490,14.49,21.59,28.45,36.73,0.49,0.72,0.95,1.23,92.53,1.16,11.01,7.26,2.71,2.85,2.55,55.72,5.44,48.3,3,35970,91.23,52.91,19.37,54.91,1945,8.26,0.93,16900,25600,35500,18600,208,265,332,124,372,35.1,17.7,14.8,1141,170,3.36,65.72,59.82,93.63,95.96,143.7,7153,10.57,3.48
no,14558,2.63,2.69,96.49,0.61,0.52,11.97,24.21,11.35,16.07,14558,100,32964,76.81,0.7,50.23,38,2.52,26.95,37671,14181,14231,13198,0,13227,11994,599,4.18,6.91,23.47,11.79,4.41,59.17,30.08,20.4,14.3,22.29,7.56,28.2,9.85,8.76,3.03,79.07,77.17,93.3,79.05,55.82,62.41,39,0.32,709,3.67,3.67,4.65,5.5,0.18,0.18,0.23,0.27,91.38,1.01,3.92,2.96,2.59,2.64,2.33,86.03,1.5,24.84,3,90,98.4,84.44,1.11,22.22,1957,0.63,0.21,61200,69900,84900,23700,306,368,436,130,437,22.6,17.2,12.3,0,0,4.87,76.17,76.02,89.52,97.83,4.8,3020.3,1.13,0
yes,19438,2.27,13.98,79.77,5.02,3.02,8.79,33.22,12.7,6.15,19438,100,44002,92.63,0.11,48.09,11.19,2.36,10.93,49133,21615,22599,18861,13023,16008,14580,672,3.5,3.77,13.22,36.09,2.22,82.95,8.68,24.72,6.75,38.56,13.13,35.64,16.5,14.85,2.86,72.24,70.54,86.76,73.88,73.59,79.37,555,5.61,1371,15.17,25.02,34.94,51.57,1.07,1.76,2.46,3.64,91.19,1.13,2.73,1.57,2.25,2.34,2.14,55.19,2.96,56.14,2,498,94.5,52.99,1,17.27,1977,1.66,0.09,103400,120900,144000,40600,506,587,690,184,627,24.1,24.1,11.2,0,0,7.05,31.02,29.02,58.34,74.81,3.3,5924.1,4.5,0
yes,54523,2.58,1.27,88.19,0.99,2.23,14.46,28.86,14.19,10.26,54523,100,25740,78.54,1.83,44.5,24.57,6.79,14.98,31056,12469,13310,10045,5269,8910,10978,7257,13.65,6.52,15.07,23.35,5.21,65.82,11.89,26.65,11.29,26.3,9.31,30.05,13.63,11.54,3.06,72.67,70.31,77.67,73.69,67.14,74.86,1110,2.62,1155,21.04,29.09,32.12,39.22,0.45,0.62,0.68,0.83,94.11,0.58,4.6,3.14,2.51,2.66,2.31,60.63,2.86,48.66,3,1378,93.88,57.27,1.09,19.3,1967,4.9,0.24,43200,56800,73700,30500,233,335,426,193,396,26.6,21.8,12.9,148,4,2.12,55.05,42.47,67.48,77.85,36.6,1489.4,0.46,0
no,15648,2.45,4.47,93.33,1.34,1.49,11.25,36.13,16.47,3.55,15107,96.54,35550,92.44,0.93,53.03,8.91,2.84,5.42,42970,17668,18215,8912,10400,12080,4949,803,5.34,2.52,7.34,37.44,1.9,80.77,10.91,29.16,7.24,34.4,10.51,40.5,11.38,10.94,2.98,78.08,78.87,88.33,73.07,70.24,77.6,135,1.87,503,20.08,28.03,40.16,49.3,0.65,0.9,1.29,1.58,95.58,0.41,2.37,1.34,2.36,2.97,1.97,49.12,1.39,58.82,2,286,95.72,39.01,0,15.03,1975,0.73,0.46,78200,95200,125000,46800,390,446,490,100,468,22,22,11.7,0,0,3.21,69.68,34.51,72.1,88.52,36.2,432.5,3.04,0
no,10636,2.27,26.41,68.87,1.78,5.86,9.19,22.64,9.71,18.06,10636,100,36879,71.06,0.56,52.08,36.8,5.88,22.82,44988,19091,22611,10713,32460,11397,12526,996,9.71,10.96,23.97,28.04,6.12,59.69,10.35,30.75,12.43,33.78,12.24,38.09,14.16,13.32,3.01,64.84,55.43,74.29,65.56,57.94,67.49,453,5.69,917,16.36,24.97,26.83,29.33,1.41,2.15,2.31,2.53,88.2,1.44,6.52,3.5,2.19,2.43,1.98,52.64,3.29,61.58,2,429,91.61,47.49,10.72,55.71,1946,4.27,0.43,114500,155400,190600,76100,445,581,728,283,644,27.3,23.4,19.2,0,6,8.62,59.04,58.95,86.39,91.17,1.9,5733.1,8.71,0
yes,51874,2.73,0.33,89.29,4.72,16.9,12.68,26.13,12.04,13.17,51874,100,30739,75.21,1.08,37.22,26.93,12.37,16.86,35795,14638,15183,4900,9757,12950,7993,6284,12.6,13.79,27.68,13.89,6.45,58.84,16.67,20.98,18.62,21.61,12.07,27.01,15.13,13.64,3.11,71.73,69.23,75.55,72.18,51.61,60.96,1120,2.8,5441,12,27.51,35.01,43.34,1.26,2.89,3.67,4.55,80.77,4.41,6.05,4.29,2.63,2.62,2.65,54.04,8.64,53.68,2,675,96.57,54.3,1.63,13.93,1969,3.46,0.68,95500,126300,160200,64700,340,426,537,197,499,26.9,22,11.7,159,45,10.49,55.99,40.91,76.35,91.58,11,4722.7,0.1,0
no,49425,2.67,0.8,95.49,1.07,1.19,20.6,38.87,24.1,7.87,49425,100,25456,83.71,2.25,45.03,18.9,4.64,9.83,32417,11902,12096,10578,6096,9944,6559,6526,14.48,7.24,14.24,29.28,5.08,66.75,6.38,35.22,11.28,30.59,6.77,43.87,9.78,8.28,3.07,75.26,76.33,83.86,78.54,73.58,77.17,629,1.95,1112,33.63,42.9,48.38,54.23,0.76,0.97,1.09,1.22,94.35,0.3,3.6,2.32,2.43,2.84,2.04,56.93,1.98,57.07,2,1058,94.6,48.71,0.85,20.51,1968,2.77,0.45,50800,64700,81800,31000,234,320,391,157,367,26.1,20.5,12.1,70,0,2.25,62.7,41.07,66.59,80.46,15,3304.7,0.95,0
no,20971,2.53,2.68,94.71,2.08,0.97,10.3,21.26,9.55,14.84,20971,100,46212,80.31,1.34,63.97,28.78,2.53,18,53689,23105,23429,16942,20319,18746,16151,864,4.26,2.6,7.23,41.98,2.91,67.08,16.01,32.89,5.85,46.11,6.86,26.4,9.73,8.39,2.89,84.17,81.39,93.19,74.98,75.75,80.85,74,0.48,1128,13.39,19.24,22.07,29.61,0.72,1.03,1.19,1.59,93.08,0.81,2.44,1.76,2.45,2.6,1.84,85.54,0.83,33.13,3,259,96.96,80.73,1.54,35.14,1963,0.33,0.06,87100,109100,141900,54800,386,486,639,253,522,25.7,18.3,11.7,40,0,5.38,66.02,61.61,86.72,91.95,10.6,1979.1,3.91,0
no,19378,2.89,0.42,85.9,12.37,4.6,13.55,19.86,10.13,12.59,19378,100,78965,80.11,1.22,69.27,25.61,1.53,16.83,87031,38132,40571,38374,0,22507,21999,549,2.85,1.83,4.84,54.39,2.83,63.17,10.38,36.54,3.3,56.08,4.63,24.34,7.89,6.31,3.15,90.92,88.86,98.93,92.79,55.21,59.88,139,0.98,3003,12.69,19.45,28.11,35.96,1.97,3.01,4.36,5.57,81.32,2.38,4.79,3.99,2.87,2.9,2.54,91.67,2.76,19.12,3,224,96.76,90.6,1.34,33.48,1954,0,0,420800,500001,500001,79201,630,887,1001,371,991,26.9,23.5,11.1,0,0,15.5,48.96,66.75,90.38,93.04,9,2157.9,0.22,0
